[11:52:16.513] [APP-INFO] 已刷新串口: COM7, COM16, COM22, COM21, COM14
[11:52:16.514] [APP-INFO] log file: E:\Renesas\RA6M5-Robot\Robot_FreeRTOS - Arm\UpperComputer\dist\logs\ra6m5_upper_console_20260706_115216.log
[11:52:20.670] [ARM-INFO] opened COM7 @ 115200
[11:52:21.288] [JETSON-INFO] opened COM14 @ 115200
[11:52:21.291] [JETSON-INFO] heartbeat started: 200 ms
[11:52:21.292] [JETSON-TX] HEARTBEAT: A5 5A 01 01 01 04 A8 0E 77 02 86 84
[11:52:21.340] [ARM-RX] Horco CMSIS-DAP V2
[11:52:21.340] [ARM-RX] Ver: Release 0.2
[11:52:21.340] [ARM-RX] The DAPLink is an open sou[JETSON_RX] heartbeat seq=1
[11:52:30.207] [JETSON-RX] 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68 7F A5 5A 01 FE 18 01 01 68
[11:52:30.208] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.208] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.208] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.209] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.209] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.209] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.209] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.210] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.210] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.210] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.211] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.211] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.211] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.212] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.212] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.212] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.212] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.212] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.214] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.214] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.214] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.215] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.215] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
[11:52:30.215] [JETSON-STATUS] ERROR: A5 5A 01 FE 18 01 01 68 7F
